Case ID, Activity, Timestamp
1,SOLICITACAO,2019-05-16 01:29:51
1,AUTORIZACAO,2019-05-16 09:29:51
1,DISTR.DIRETORIA,2019-05-17 00:29:51
2,SOLICITACAO,2019-05-17 04:29:51
2,AUTORIZACAO,2019-05-17 09:29:51
1,DISTR.SETOR,2019-05-17 14:29:51
1,ALT.SITUACAOP/EMEXECUCAO,2019-05-17 19:29:51
2,DISTR.DIRETORIA,2019-05-17 22:29:51
3,SOLICITACAO,2019-05-18 00:29:51
1,CONCLUSAO,2019-05-18 03:29:51
4,SOLICITACAO,2019-05-18 04:29:51
3,AUTORIZACAO,2019-05-18 05:29:51
2,DISTR.SETOR,2019-05-18 07:29:51
3,SOLICITACAO,2019-05-18 13:29:51
5,SOLICITACAO,2019-05-18 14:29:51
4,AUTORIZACAO,2019-05-18 16:29:51
2,ALT.SITUACAOP/EMEXECUCAO,2019-05-18 17:29:51
6,SOLICITACAO,2019-05-18 18:29:51
5,AUTORIZACAO,2019-05-18 20:29:51
6,AUTORIZACAO,2019-05-18 23:29:51
2,CONCLUSAO,2019-05-19 00:29:51
3,DISTR.DIRETORIA,2019-05-19 00:29:51
4,DISTR.DIRETORIA,2019-05-19 00:29:51
7,SOLICITACAO,2019-05-19 00:29:51
3,DISTR.SETOR,2019-05-19 07:29:51
5,DISTR.DIRETORIA,2019-05-19 10:29:51
7,AUTORIZACAO,2019-05-19 12:29:51
4,DISTR.SETOR,2019-05-19 13:29:51
6,DISTR.DIRETORIA,2019-05-19 14:29:51
5,DISTR.SETOR,2019-05-19 17:29:51
4,CANCELAMENTO,2019-05-19 18:29:51
3,CANCELAMENTO,2019-05-19 19:29:51
5,DISTR.SETOR,2019-05-19 23:29:51
7,DISTR.DIRETORIA,2019-05-20 00:29:51
8,SOLICITACAO,2019-05-20 00:29:51
6,DISTR.SETOR,2019-05-20 04:29:51
8,AUTORIZACAO,2019-05-20 11:29:51
5,CANCELAMENTO,2019-05-20 12:29:51
9,SOLICITACAO,2019-05-20 12:29:51
7,DISTR.SETOR,2019-05-20 14:29:51
10,SOLICITACAO,2019-05-20 14:29:51
10,AUTORIZACAO,2019-05-20 17:29:51
6,CANCELAMENTO,2019-05-20 18:29:51
8,DISTR.DIRETORIA,2019-05-20 20:29:51
9,AUTORIZACAO,2019-05-20 23:29:51
7,ALT.SITUACAOP/EMEXECUCAO,2019-05-21 04:29:51
8,DISTR.SETOR,2019-05-21 04:29:51
10,DISTR.DIRETORIA,2019-05-21 05:29:51
11,SOLICITACAO,2019-05-21 08:29:51
9,AUTORIZACAO,2019-05-21 11:29:51
12,SOLICITACAO,2019-05-21 11:29:51
11,SOLICITACAO,2019-05-21 12:29:51
7,CONCLUSAO,2019-05-21 14:29:51
10,DISTR.SETOR,2019-05-21 15:29:51
12,AUTORIZACAO,2019-05-21 15:29:51
8,CANCELAMENTO,2019-05-21 17:29:51
11,AUTORIZACAO,2019-05-21 17:29:51
9,DISTR.DIRETORIA,2019-05-21 20:29:51
11,DISTR.DIRETORIA,2019-05-22 00:29:51
12,DISTR.DIRETORIA,2019-05-22 00:29:51
9,DISTR.SETOR,2019-05-22 01:29:51
13,CANCELAMENTO,2019-05-22 03:29:51
10,CANCELAMENTO,2019-05-22 04:29:51
14,SOLICITACAO,2019-05-22 07:29:51
11,DISTR.SETOR,2019-05-22 08:29:51
12,DISTR.SETOR,2019-05-22 09:29:51
9,CANCELAMENTO,2019-05-22 10:29:51
14,AUTORIZACAO,2019-05-22 13:29:51
11,ALT.SITUACAOP/EMEXECUCAO,2019-05-22 15:29:51
15,SOLICITACAO,2019-05-22 16:29:51
13,SOLICITACAO,2019-05-22 17:29:51
14,DISTR.DIRETORIA,2019-05-22 20:29:51
12,CANCELAMENTO,2019-05-22 22:29:51
11,CONCLUSAO,2019-05-23 00:29:51
13,AUTORIZACAO,2019-05-23 00:29:51
16,SOLICITACAO,2019-05-23 00:29:51
15,SOLICITACAO,2019-05-23 02:29:51
14,DISTR.SETOR,2019-05-23 06:29:51
16,AUTORIZACAO,2019-05-23 12:29:51
13,DISTR.DIRETORIA,2019-05-23 13:29:51
15,AUTORIZACAO,2019-05-23 13:29:51
13,DISTR.SETOR,2019-05-23 19:29:51
14,ALT.SITUACAOP/EMEXECUCAO,2019-05-23 20:29:51
17,SOLICITACAO,2019-05-23 21:29:51
18,SOLICITACAO,2019-05-23 21:29:51
16,DISTR.DIRETORIA,2019-05-24 00:29:51
19,SOLICITACAO,2019-05-24 01:29:51
15,DISTR.DIRETORIA,2019-05-24 02:29:51
14,CONCLUSAO,2019-05-24 05:29:51
19,AUTORIZACAO,2019-05-24 05:29:51
18,AUTORIZACAO,2019-05-24 06:29:51
13,CANCELAMENTO,2019-05-24 09:29:51
16,DISTR.SETOR,2019-05-24 09:29:51
17,AUTORIZACAO,2019-05-24 09:29:51
15,DISTR.SETOR,2019-05-24 13:29:51
20,SOLICITACAO,2019-05-24 13:29:51
